User_ID	Reply Frequency	Retweet Frequency	Mention Frequency
709045724	2	1	3
221160441	5	11	25
16135680	1	7	9
2897829701	1	2	3
302477338	1	7	13
17475575	1	1	5
1051396218	3	120	315
26578338	1	2	3
2903166449	5	162	417
2828731642	1	95	122
58477980	1	1	3
165766223	3	2	6
65184105	1	4	21
123321398	59	23	109
29589780	22	22	43
2219758040	1	1	2
25836930	3	1	7
1652413177	58	131	220
2433763812	1	1	2
1431873422	2	10	12
141196828	6	211	235
2296073965	1	1	2
34431698	1	4	5
531780156	1	7	8
42895605	5	2	7
1465662751	1	1	3
2394010758	11	1	13
91136700	2	4	6
2413686017	2	1	4
353135573	1	13	14
3741319876	1	14	17
2518908922	1	1	3
29532485	1	2	3
3163423500	2	3	5
379255846	10	5	15
2644896286	5	2	17
717243036	2	43	51
703006689960849408	4	7	21
2574924457	5	96	101
1324899828	1	1	2
1633453286	5	3	27
1425265488	8	3	12
238666005	1	1	20
497548528	1	4	5
314547496	2	13	20
2180031792	1	5	7
50288793	1	2	3
3530476579	1	60	70
2286300840	279	19	298
63514682	5	7	23
2618820006	2	14	19
144367359	1	43	44
232596656	1	1	2
432512256	1	1	2
2913893591	8	7	15
26665847	1	1	2
199770246	1	2	3
2361199968	1	1	2
578046717	2	2	4
2574458629	40	4159	4192
41323416	1	1	2
488821862	1	1	3
2446712490	1	3	4
18451200	1	4	6
2526569216	1816	486	2273
291669751	2	2	4
31624866	1	2	4
2198003828	18	9	29
364341130	3	29	35
302292749	1	4	7
842889179147264000	1	1	2
1152279248	1	3	4
892174502825799680	2	1	99
2205257485	19	2	21
813286	236	78	1956
2717018472	2	1	5
2506618758	2	1	3
21386772	4	1	5
605348251	4	1	5
1891078644	27	3	37
1911999085	1	1	2
112640629	1	1	2
26520948	1	40	50
22521951	1	10	14
85355294	4	5	9
376453771	1	7	12
1529474959	1	1	2
785961736100679680	1	2	3
4881330679	1	53	72
14401698	1	3	40
298602588	8	25	40
24923175	1	33	47
1903938559	5	107	122
2758884450	11	2	22
568773626	1	11	18
3197757102	2	4	10
3194881206	1	1	4
1639971390	11	173	199
585318656	1	2	3
4717892303	7	34	115
593376913	1	2	3
826059922123190272	1	2	3
2875679335	1	6	7
27689907	2	1	7
53669907	1	3	5
42114052	1	1	5
2527828914	1	11	12
538711270	1	16	37
304627207	1	1	8
2397883780	4	43	47
143326098	5	37	52
425002408	2	1	4
3079307777	2	5	7
1577773640	1	2	7
850430550	1	7	12
3194007719	1	1	2
150119586	1	1	2
19400611	2	47	105
362050559	1	2	4
546190914	1	5	8
62667547	1	1	3
3014001167	9	14	35
21355612	1	1	3
216444984	1	30	55
2728323791	4	1	7
34713362	18	760	819
379400403	151	511	949
2727861361	1	1	2
1201937498	2	1	3
2889291969	1	22	23
77789512	2	1	11
2943465575	2	1	4
3040676661	4	5	9
2313139874	1	1	3
491123376	1	1	9
1273367394	1	1	3
3310954705	21	11	35
698853597220642816	1	6	9
2692578115	3	1	4
4236431128	1	3	5
346137929	1	7	10
1400282226	1	1	2
17461978	2	10	41
794243746128863232	1	2	3
136828015	1	5	7
84960857	2	3	17
2489748356	2	1	3
1572391237	4	3	8
717288928965844992	1	2	3
771926219923288064	1	1	2
2782362278	1	4	5
459076755	2	58	77
72845405	1	2	3
1908540390	1	2	3
2882754975	1	14	20
1521458886	7	1	8
791089960292081664	1	3	4
721970910	1	3	4
851708581	3	8	11
23018333	1	6	8
14304170	2	5	11
2292488509	1	7	19
4289460455	6	320	398
2855512223	4	1	5
1620968665	2	1	3
217628644	1	1	3
114734038	1	2	3
2800581040	7	148	199
628012137	1	8	12
829092417085255680	1	7	8
246357149	2	1	6
222560434	1	1	8
2868357559	1	1	2
2185681055	1	1	2
2791575550	2	1	3
140159230	6	1	10
3997346243	1	6	10
456289175	1	1	2
896873958	1	4	9
2253474332	2	113	115
2901740594	1	10	11
2938431885	5	1	7
273693908	1	6	7
2841144058	3	29	36
3303405219	3	1	10
2201403325	1	1	2
2953219409	5	2	10
2654601162	21	16	39
433233965	41	24	86
15262271	1	5	6
3129010469	1	5	9
259395895	4	38	68
500107109	1	1	2
624953558	7	12	20
375383001	1	3	4
1090214114	1	1	2
1053236226	1	12	24
2690430647	1	1	2
913542072	2	22	37
921402966	1	1	2
23578176	2	5	8
2286103759	250	20	271
4577452643	1	1	2
22938296	45	10	58
72473481	1	2	3
14700117	4	1	29
62595206	1	1133	1134
2478351504	424	118	540
2528048041	1	2	6
711523935242870784	1	220	246
236855437	1	1	2
407955785	1	5	11
2585555538	2	121	134
99424668	1	9	10
2795274284	2	1	3
1947303967	1	97	147
2207657156	1	1	2
3379136061	1	1	2
2286411254	410	24	433
15008600	1	3	4
2218769562	1	3	4
14615871	1	10	59
16672561	2	6	11
20681109	2	1	5
4880418286	1	8	9
259771708	1	1	2
1728948764	1	2	3
3086902329	2	2	12
2303476812	254	3	257
709004785	6	1	8
155927976	1	1	2
1382696899	3	8	15
3138206694	1	5	11
2580070858	2	16	18
2511549680	340	20	360
119491006	4	66	89
3314758074	5	18	26
216776631	106	200	1100
469101468	4	5	9
56840091	1	1	2
2188423838	1	390	461
325363179	1	1	2
77217317	9	2	3
361217244	2	9	12
573474539	3	6	9
3285330997	1	1	2
1498034982	3	28	37
2718419672	1	39	43
2439959394	1	3	4
2561394523	1	3	8
4193417428	2	5	7
1452345702	3	2	4
2985067049	1	1	2
2975906151	1	31	45
2307838406	33	4	41
471765642	1	4	14
2987840787	1	2	3
753139327	3	1	4
89817253	2	1	3
1332901430	4	7	29
3350455366	12	3	15
4216218269	2	4	6
2334312147	2	6	8
32196896	2	31	33
74841347	3	223	293
930900002452398080	2	2	4
1628344632	1	2	3
383906888	1	1	3
15829688	1	1	2
79078745	24	3	27
230314591	1	3	5
112734688	1	6	11
746412932360208384	3	39	221
1101320144	4	3	7
586517207	8	3	11
3028303180	1	7	41
1412137904	1	1337	1452
886354261	19	9	26
197843269	2	17	19
3004231	30	159	299
563617296	1	59	60
2823766147	1	5	6
263103859	1	1	2
2483462017	2	2	4
63172203	1	2	8
325770121	1	1	4
186715220	1	3	4
20536157	1	2	107
864668112	3	7	10
262834755	1	1	2
76438819	1	28	124
241674327	1	4	5
2841974300	1	1	2
283912543	25	19	79
2261538223	1	1	2
710848602	4	1	5
302340153	1	9	10
3050947837	1	1	2
176502559	58	18	107
3276668192	1	1	2
883636189	1	1	3
1659548389	15	17	35
724752040057028608	1	9	16
1173981086	1	1	2
3260503620	2	19	25
2272909014	1	4	5
2471692340	1	26	72
16243550	1	4	12
4767395174	1	10	14
24516301	1	42	71
261074207	1	1	3
2291402228	2	8	15
43075660	4	9	17
2433667077	1	8	12
232901331	8	177	298
1287022826	1	3	8
18949452	1	42	120
52332354	1	1	3
2564440225	1	5	22
5242	1	1	2
30973100	1	1	3
33838446	1	5	8
504289645	1	3	4
43283406	2	3	11
16539283	1	11	12
4853922562	1	3	4
3249463450	1	402	410
15853787	1	1	2
368224442	21	2	26
156641280	1	374	408
18085903	2	2	6
1578095880	1	5	7
2413775350	1	6	9
27389854	10	1	17
116969334	1	114	129
2578185827	336	243	621
300324257	1	1	2
2545187895	1	4	8
24236438	3	40	43
105414097	1	2	3
1156371384	1	2	4
4785071500	1	2	5
9532402	3	66	93
183128209	1	1	2
613222342	2	1	3
54086590	1	7	9
933693476	1	153	163
265605524	1	19	21
1693392673	1	52	53
1855582706	5	7	19
2289992708	544	37	581
783172964	2	1	3
1566576950	1	3	4
273814989	1	1	2
69340006	1	42	52
3015246064	11	6	23
928587764530065408	2	2	4
3263125933	1	1	2
2674034604	4	1	5
259062252	1	1	3
2424290599	4	13	23
319850082	1	16	29
216289357	274	11	445
3070577467	1	2	13
2892541329	1	1	2
15914986	1	4	7
1935089888	1	4	9
2810381366	1	1	3
2497380297	2	4	5
37046582	1	2	3
3377100196	1	22	27
31922947	16	29	70
42930536	1	2	6
875627605	1	6	20
1369109959	5	2	7
1392951560	2	87	121
1575301334	2	16	56
3265449986	1	1	2
2879873157	1	1	7
32818433	2	5	9
1858907203	1	26	36
1960154761	1	4	6
2251173986	1	7	16
49013218	1	4	6
19738866	2	2	5
128163623	1	12	13
14344823	21	102	336
2162318095	7	4	11
594825913	3	2	6
3239107897	2	3	6
1327883377	3	1	5
314406730	1	3	5
396132917	1	2	3
20994006	1	1	5
1890771926	9	1	11
228109008	2	1	3
3054253960	2	2	4
