User_ID	Reply_Frequency
2787287060	329
1418745782	859
734087285210120320	1
721993680	88
2254749116	254
47102028	1070
124423565	3
14468676	1
532120433	30
957051660	198
789284720	28
928243165	24
151142911	55
4058969233	2
17964137	131
1076593872	8
2675694459	4
2522577819	267
1647286688	257
253261225	1408
74446564	448
479250741	1
2736268915	1
2336753934	6
751308926	4
55080731	1
2616286689	1
2675837456	2
3187140695	1
295749804	1
278304836	1
2826847458	1
3080295188	1
535791711	2344
905514350684844032	20
2782893908	3
786023126	421
553710428	3811
854245862	98
443976097	14
2344571893	194
29414182	2308
2853139688	1
57715692	1
2874151515	1
3038736756	2
1401236340	2
1630475468	1
145359485	1
18998235	1
178410040	1
1289117840	1
137335825	1
961228034	1
1917731	209
14662354	64
2502942848	4
368404286	1
2510281298	1
942992006	1
74618143	2
429033843	1
1073472151	1
2774790352	1
316293110	5
357446360	1
2155022928	1
399276893	1
1284369920	3
2735344896	1
1075975874	2
462272724	2535
535768182	1818
503609280	4846
131812518	13490
528672186	2821
2382254887	393
2589513234	4136
457082946	1769
471868887	5160
2510028998	546
2534428009	425
2787009522	311
2290034089	419
2804923094	571
2534337834	396
2286222211	358
2786964146	357
2797800582	323
2788466299	570
2788161733	303
4437444442	6
2286300840	279
2790011311	411
2808833544	5005
720357712333271040	5
2439943419	138
2670490950	5638
2417019587	568
2329889815	860
2617106433	33
2290444669	340
1959794791	702
2805161023	290
2509665716	360
2286256237	272
2574556734	131
1926718244	20
2245367568	64
2491692239	3
2333156954	65
1001696287	3
1521922322	205
612777623	3
500218931	2249
785900454	432
736432440	1112
1945905086	18
2794112642	352
2286235111	291
2484289233	282
2426219927	306
25073877	1634
2287097485	164
532995046	4199
553693295	4179
508761973	6162
2422358441	356
2285961132	289
2560184415	270
2503849063	259
761125322	6
98558830	9
194318047	59
200990130	14
22938296	45
2401397937	13
2233197770	326
2523516951	283
535785579	4220
495289557	6784
495178226	2073
1544019842	2
414299987	5
1708227236	78
2268203311	3
53677317	78
2571009980	1067
110394316	440
2333563224	8
268963042	17
534488753	8
2559600505	309
17988848	1142
317653518	1
17569292	4
1544379140	1
2290449025	246
2798150383	770
2784202705	51
253025325	9
2431327202	2
2389717004	1
770759270	2
565855745	1
228048079	1
86913148	1
941963330	2
54264954	1
2227856275	1
521422679	1
2882331822	913
135575282	13
2805198440	353
2786296818	547
2805396649	439
1240007161	3828
718570268	18
2581791484	71
2157761790	8
80856299	59
2535330771	260
2417283285	258
2262636942	248
195461097	1
3417636005	1
51606001	1
1465776704	1
2510185946	381
480763276	1124
535690498	3572
457062371	2061
17839060	35
14256540	404
576874658	1
136329115	291
49022917	7
1328663388	6
2785804165	725
2509599877	391
2509584396	321
2501675968	242
2417979586	251
2237336431	294
1647199298	434
216776631	106
3007724643	1
2763021482	10
772012034	163
228150145	34
406498900	1
115702625	32
2574563383	250
2247249138	270
238383352	7
570121845	51
987436315	1
732821587	292
228009789	331
2426060923	1
40440658	1
2251041008	1
315916315	1
1955980002	732
2511544578	514
2787055434	324
1363101812	30
2286286950	1054
2284695822	624
2326707778	2
97232128	14
376805797	11
216289357	274
3277284960	1
179118309	1
1225479486	2
199399880	1
474488324	1
3394049195	1
2935689066	1
630779917	1
265070185	1
2169703045	1
3003901617	1
3407914685	5
2241522738	226
2805114728	379
2251023158	267
449689677	152
2881029983	11
187869706	14
2309654814	128
426778274	501
2286120991	275
2416434812	271
2805268244	447
2509495910	356
2804568768	354
754753628	1
6135562	83
368386722	5
2351739462	916
2509651640	347
2804677178	426
2787135090	471
2510103415	325
2425082736	243
2261179141	262
2237122471	4
2790352525	342
2534316517	587
2509647456	381
2289997753	173
2286175759	283
2535154541	250
2286690680	336
2290066291	419
2575090690	47
2259539330	270
2286206300	354
2286240752	274
446324324	4
45106769	4
25402401	1
2785702231	756
2787098172	339
477041200	476
3303057185	8
2786570353	349
495327369	2811
2290006326	495
2286239042	288
2409200683	6
615422017	208
98046488	49
19503310	1191
2919658089	9
2514970454	577
1022496396	191
171826697	95
2506437442	92
548013231	1035
207679983	2
204429509	67
2519044628	10
3167258967	11
2438236854	822
97907917	4
432646587	12
976606670	529
3697635196	2
1707698713	268
528550945	3806
242188931	8
244779662	1
103018203	1
454641768	1
1615261238	1
462008875	1
794957268	1
