User_ID	Retweet_Frequency
19217369	51
726403286878818304	1
17980523	1650
185425059	112
347627434	1161
2786446638	101
2588885646	1
53016173	24196
3320545346	73
24870433	18
41207820	12
17907878	45
258652342	5
123528753	7588
269770723	21039
341901563	140
3260984963	57
811271557	254
1911574724	42
386829998	744
58529612	66
96442308	1058
383753674	4594
183913701	99
155999283	1122
17971174	2
1148279660	1064
4761064634	541
1045276400	1
2546361637	2
32421706	79030
1951103772	425
2209025676	1138
338960856	67521
2178836894	2611
1289627154	1308
80194900	10
1718608849	1523
584522051	34712
377165739	15
735583903902277632	1
2532029019	1
592730371	1395
25073877	3837
746235225169006720	3
763152148846653440	172
60167522	24
1367531	4045
2412048329	515
2599775719	25092
511617963	8276
15931176	171
292929271	581
22703645	172
3060388144	640
2573726278	13894
508761973	22366
2599857883	9805
99918629	4773
2836121860	6507
2574563383	11001
3369109175	12608
2260338140	5409
2231059909	20289
2527472164	16159
2997392589	8547
34200559	123830
2570574680	70395
188660613	3872
1038481676	11
312805513	8
87818409	2208
27160386	3
2182637970	1216
2417559459	1364
2430473357	2045
2444228014	1199
2560389533	517
2432852753	687
228661749	30997
2533364158	14762
86780947	847
255493944	2628
1665377383	17
4840551713	1142
3034626213	8727
327569081	10
2457294401	93
2422329662	1151
746481283694399360	1
334241684	84
519445563	4
311137675	15
926317914	46
1686581220	56
1718000594	1702
399459568	257
2882013788	6082
4693232245	100
747083536566525952	10
2965081625	16
266775710	2
248383985	1
3012689697	71
917655846	1953
251194569	306
3392681261	95
57315004	186
2217800420	926
285532415	27712
2518710111	7970
2545492447	3
70416094	47279
2578388491	7787
511598552	8229
3309509312	7
970516614	3
213297787	20253
2882037326	7206
2317490496	109
2589159901	2472
2256702913	1286
3012875395	992
912760646	2
70156027	14
462104542	349
1345822466	834
145735273	39
2428991583	1463
2430967527	1364
188348758	12
713453071637090304	1
327715898	38
205313916	115
119788492	269
400431217	20
48799761	8
65109514	18
49190063	458
26447410	8
2481527106	15544
1656248106	5325
4722020595	12
462272724	16826
62595206	1133
92637109	1243
2429245588	1494
2412179875	1227
2189293202	1400
2422639263	1301
1240007161	14831
2180234924	87
2433227806	1365
2424983951	376
18643437	3134
739460970	1
17964137	3305
2732602029	55
708538440866865152	956
874091436	7427
2300857116	5987
2908919697	638
2574458629	4159
2412607506	1312
2560225751	39
14256540	2166
369249722	425
72525490	50560
238663067	1343
2941365709	665
1696560656	4
2573933721	13777
2859411939	29
386909464	3358
2495567768	1546
2788567986	86
2589513234	24909
22056192	59
2943515140	1583
2744800728	3324
2578890822	13604
1913764033	65
597046933	227
183977596	20580
2753338899	745
1947775470	35
2245367568	1358
2670490950	15671
2351739462	4109
71316404	2968
2441420272	475
1937046278	24
2572652478	640
2587843805	1952
2675966513	940
2543692403	8886
2803786405	14052
2577412818	27433
2381495328	586
68643775	12962
2537170340	1184
135204404	5
2478769261	1242
2572896396	17841
374977625	313
2365554696	6253
706858494	10585
984340225	671
34209920	1427
18161336	8016
516332638	4251
2496599688	108
3021907059	169
23807759	68
17988848	91
482319758	524
2603716520	90
2665564544	4862
27975753	10
7144882	190
163242091	2603
2188771088	1
130352142	23
466549101	168
327696821	1
1677186870	1
739465879	1
456338507	2
705902960967094272	251
457984599	1434
1628181121	982
1249592959	5087
2526041465	9120
1719779256	165
565188105	207
468638079	1524
2833941431	235
373316375	68
2430976186	209
376081637	424
1604176808	3
2288217277	10
287493868	68
50477823	431
416664023	22
20562637	1510
253015997	1
358962879	2
2423747006	21
2924819207	4
3312143142	5249
1687183549	2403
382756637	3455
2833951409	199
2452170645	501
2431702643	499
432280376	3261
2382254887	251
2241135968	873
2262367472	1181
200036850	4862
535768182	1131
367985193	9841
2438236854	4106
734605554	686
2258819611	1176
2430400450	1752
2236801261	1318
2392271256	2
2821594677	1
1251254450	32
2997782457	5
1261332612	3
2425471679	1311
2560184415	583
2267551088	1150
1930747698	11498
273279047	875
2247855296	1475
2537357265	103
147964447	1233
2827585146	2334
2648734430	2982
81994188	3871
1894796587	48
1690617488	215
57176793	204
2601235821	1712
18856867	1430
2277247082	1325
2183550654	1352
2578453334	4953
2433616731	1367
2432365864	1400
2808833544	19753
471868887	3875
51082347	972
341154274	1435
770846844	5
2424407621	761
2443010631	5545
608471241	201
1445334056	40
2247893282	1220
2430629248	1332
2260562516	767
139909832	526
15319698	430
41821259	19
2515274065	238
1924473979	91
23936177	3628
3241917760	2
2731598084	91
14362404	12
14982804	227
485955028	3110
477041200	4396
46413598	473
483597837	8789
494076761	2057
15754281	588
19433122	1294
85731597	170
631360495	564
201432186	37
27879364	183
462002814	1372
2206790552	290
773011977522122752	1
759600342615154560	12
3761109329	140
2878166306	3320
2178824387	140
25776495	199
2351185794	5
106514488	460
1472466589	621
127697190	1232
2286316466	615
403615498	1964
2785463792	90
2556837174	1
80121079	1342
3104879477	1187
1415982336	2699
2908308039	1105
3073608784	1784
183751634	1323
1904002170	767
528571696	726
4859142199	2421
1250802032	4
3815065337	425
802300570795020160	112
111425302	2068
108091678	944
284168384	5200
1154402264	627
130953771	3611
44353505	1150
631586953	14
3231768380	29
2543136989	327
529219306	1
2788466299	102
2248265466	810
304091210	1503
2233568725	517
2251023158	649
1638698256	731
2322347708	14
379673697	34
2841883851	398
241930962	1
2398304815	77
2997582052	159
2398051768	694
4842640686	33
608312848	43
2234808302	277
2189392621	1250
1214797021	125
1462656319	34
1610505925	9
2684938206	7285
78523300	1463
16814727	115
1412137904	1337
112479899	439
3006885983	120
274891222	1568
517691735	2953
12911702	6429
2248635853	164
771805760	428
2218356331	747
2659015536	7324
20878297	256
2543471073	42
3126557393	1
296833553	20
1263800178	28
1363101812	790
136329115	14629
3049228218	7213
373783051	65
97474887	145
2788816940	78
164297498	68
232057973	3758
714128911823724544	75
722006503914356608	952
713698829535674368	2
1004702144	41
13850422	220
798088749221613440	11
3110905846	1127
4501498394	24
3280337558	206
71349174	5
2413331803	18
14040522	212
313050573	32
2578422308	1788
2183382799	828
1854615686	1
2286690680	23
37784856	1
263954983	361
37151086	1
10774652	481
16312576	73
14669951	2175
154532994	867
103523095	147
2500467739	35
474259753	306
17543416	7
920825071	5807
201873934	5453
1481083303	922
3659397989	13
56938863	193
2786045262	70
2257775071	1439
2173135652	4
2715189193	11
2188423838	390
19938133	8
97189414	28
47401956	425
4247784857	80
1137072878	51
29523440	35
2412359488	1194
2746979823	10279
929050108523679744	2
761401522798333952	335
870393260	1
3102583561	6
5695632	523
2426846709	1130
2542980226	520
2495799494	34
56192779	2
1917731	2485
40684090	2223
15271006	62
2097571	84
46296304	12
15164565	270
930463614	6
1891806212	2
4735827454	46
394899434	578
189019079	19
2585366864	886
2970422219	1
2845849081	397
2559600505	1885
2321852454	64
2441776227	47
2420825937	758
2256974472	827
1708066932	1527
837002761237590016	239
263568980	1863
2893599016	9
154530823	1127
153812887	171
2420953021	2198
339694690	2
1385194297	3
16896485	54
61442272	4
612168105	24
19503310	7895
201332822	70
3965100614	1
1167449568	162
17268454	38
2422277055	904
2235009504	1306
2426556891	470
80230154	2
767465856926232448	31
201334945	708
947803460	107
14839147	271
9624742	196
435065314	172
3308651697	19
792425445929078784	1
16589206	1050
778222109159940096	3
20024904	3
2573356007	36
2259514543	888
553710428	415
164715738	76
164536190	751
18511475	4728
110326494	124
917414840	134
3286887050	227
16176754	15
1248922304	11
732466727544492032	5
19663706	12
1647277573	969
3266505318	129
2445301195	876
1077121945	6
91449622	2
15843059	715
787416582754631680	15
568451212	1
318136173	836
17522884	815
708556971784474624	4
5734902	287
50995683	115
2257478364	1306
2233197770	500
2257619083	683
2744420513	1
847975615	1
2866368887	15
983092278	7
24425269	8
1548489476	144
122473388	1
1078094414	146
186506052	26
1903772130	1
1354148466	2227
146882655	2089
93111391	1420
215679926	1
39246283	1034
208526004	537
1710592950	1302
462370197	194
309169426	255
92079350	22
15911806	479
213056747	1
129235890	669
479815131	4
16930125	14
776147891807064064	3
909434454	1
776693598582665216	1
71627462	54
129940576	617
2478328680	440
497678581	25
20510157	2026
1277570646	2
1648136179	1374
2426337429	1158
2425555553	179
2245684130	641
2557520184	1
2554577172	1
20068679	102
62037775	41
16041234	681
21129105	844
2772543750	5
3418258625	329
9300262	402
90130165	6
407490941	193
178527524	9
10474062	555
2785953583	89
1052234964	1
1261486434	2
2535059054	47
2786928840	91
20015311	63
2245827504	5
2882350436	5085
1663368462	32
2942018419	30
25596553	19
2304093347	28
1247427462	89
1450062895	3
4869488291	20
2918900189	250
1363618039	4
14063426	4
575848625	393
2467791	521
791077327	351
167781199	253
707278892801765376	1384
2442582861	486
2534640290	2230
2266800936	6
7587032	130
1050111	5
2255882239	570
2453355345	1319
40807205	2890
634725546	1235
1686370159	47
4272870988	507
271602903	9
21323251	3
2413405211	174
619939994	1069
1612518132	916
2259579446	1280
1401304657	4
23848187	5
3439458004	1
303228005	6
735530705011265408	4
19386167	1
731215440739897344	2
1251825294	99
253006112	231
876878694	4
255126519	3524
905019768	3589
2829725940	27
276579644	347
1093813626	300
247981000	312
19955575	206
761805362110529408	174
1575689569	119
2753211010	1166
2577082467	849
43859480	26
795367404788326400	6
2805472723	449
2232631166	1378
2259043658	111
3163384804	203
428333	145
1193341940	272
3447870375	197
115754870	830
2990344980	135
275704641	159
710651691830525952	1
4825856765	1
223989188	46
340466920	565
118483149	459
16007872	949
90408018	342
406869976	8
14677919	428
37990581	138
29979814	86
1960408273	3
329323059	4403
8522892	203
47335820	289
200063577	29
2257805797	1255
15201272	40
506943829	14
495327369	1376
3577465457	3349
2944766250	900
867853394760712320	6
449689677	3708
708661956115169280	2
824699131	12
4017822809	12
2257832792	531
3091504197	19
3255746187	2
19443952	87
2995529595	671
2748244599	207
720512964	922
1866709338	59
2579641571	1
2377161340	1
14939981	179
1496530303	206
34487135	72
2827707919	315
2258612881	1244
2431540000	478
2246530477	1190
19806962	9
1342523676	5
2494112058	1239
503609280	2404
2401611213	1174
1179710990	123
100136358	521
786507805888909312	44
1655708533	331
275413557	1742
72696358	2773
2415548597	1383
2532878081	1228
1218193352	823
191315334	2226
2571870453	1410
17466758	449
14980820	22
137175146	271
728945169639346048	59
505410336	5
199606534	649
250386710	191
23200004	19
43057263	504
3930462077	247
1065869268	1257
1260974808	1
320447063	2347
27741349	8
785967000	664
2382179208	100
44874680	1097
2394262007	1326
3039191445	16
2441831348	1153
98983044	1013
198486683	400
734576335	1198
2262636942	516
2396521816	1233
2574556734	2663
2398930948	1408
2805112128	66
2293871461	3
2788221175	81
43342160	2
21280975	449
176905010	2
49698134	1415
2721995401	5065
440775851	475
2532603353	545
14293310	304
253261225	5020
1707679812	946
2541299618	961
52141764	53
2501533421	139
2908170952	256
707903614849830912	2
24081461	6
2374466929	6
2587474264	989
2286189025	305
63478646	8
16106584	67
2262297098	316
2420265269	6209
2167829435	4692
2893570001	1
503630378	594
2950822379	156
2778351565	1938
260212995	1577
2427144293	703
2986421494	155
97032900	2
60475529	525
15935954	255
1105528855	129
18873257	1
710302327	33
3390769840	61
430077866	5
223970563	102
42617240	8427
252628235	125
2417380119	164
1876660194	155
2664984804	116
2547141851	3002
16973333	4256
41410702	1018
2902423404	195
195524777	101
55312746	1039
45450902	120
1090026433	138
73572581	1588
16148677	7
25537665	7
16386704	11
2902415100	400
2300416956	7
34171476	1
2410087638	1
2833911285	185
19236097	3
2377815434	235
19422491	60
469194846	541
1202084460	188
742183174260723712	5
2248437355	1220
772012034	1057
2256090402	748
2399639001	786
34239016	43
100185915	90
14060262	66
2457390594	394
2256300876	841
2596113637	6
2450269619	412
2237336431	676
2441677591	1
2777116927	90
168931349	354
2541945841	48
1906743283	16
2566023505	1
2787035557	99
2785008776	74
2447539329	59
3297022953	387
3195591187	6
44945327	145
23769223	9
15513604	849
798681172519899008	53
297567609	8
1936667028	1139
2833901997	240
2527841957	475
3070326495	32
483389407	561
1396267908	9
2308954104	8
556060137	2
62098896	6
4896660778	49
4081106480	1079
542318578	5
2254825644	1256
60030161	2
58845996	132
2182333668	691
2186596154	107
2399649227	655
2402913705	510
1939953518	489
157197075	164
1649719753	16
2493703760	100
1933558273	1
324236072	205
921533490	57
428081159	79
30658315	1
1962902683	23
2509857138	27
2884771	63
758876521	1
166751745	36
710202376	1
52544275	206
563767568	3
2405005210	441
784936985685208960	11
422894799	118
975217231	207
1162122936	12
842745159032827904	312
2796474446	1
56413858	230
917944498260447232	3
115681686	543
15535860	12
2752677905	3129
192267295	52
2611151319	1132
142715397	101
2591847731	600
312149882	3484
2743327187	2088
510245805	217
2513385202	11
3931672393	589
2352650977	45
972909709	294
3067390639	355
380086603	107
2366955362	577
60053302	102
441242894	14
1325796606	174
1209703506	369
2276843154	6
2276489472	2
2270007788	5
2581834864	3032
89508154	1
20748745	129
986926658	791
2441889653	1271
2785988521	93
16028034	812
14270826	156
36686040	58
903491155	8
885733974	223
2244290719	1
2620614029	1251
196168350	641
2429172431	1231
2833581177	1
20729471	25
28116414	35
3063945800	54
35226700	16
4497129917	45
153537164	1
6300882	1
208505016	85
93879982	313
2254186309	430
125128723	29
3004231	159
2266579400	460
3122369433	11
160881696	268
130600206	38
2785372374	126
2340801336	894
486631666	217
366633741	11
294707526	1
2410809489	132
2514970454	732
2266715023	1169
1660771422	66
3247703020	9
1009195424	26
16931849	17
22956220	93
2258490860	226
2618843767	4
10207502	364
1962784537	548
36311121	569
586	9
32238490	1853
37486989	1
2479107576	1
575267091	1
2471702485	1
1626602155	1
19618471	102
2153969965	2
57502510	981
79313316	101
764336905890561920	13
940279934	18
773281247158267904	27
2219989927	20
2407661241	829
2572764013	3381
772006393	714
4075580825	308
959403319	491
2785702231	135
2821915001	1
1261656199	1
4095888678	1
200990506	5
2243059742	148
1648127630	1075
830158921423790080	2
16930489	47
328878936	428
4510755552	441
19211550	183
129658117	1
1431560726	6
29417304	2274
10282842	4
1590037842	1
87103901	1
297537383	128
362129617	2
905202360	11
736432440	971
2414782360	1126
767270527	24
2426353673	5520
2184946609	886
2475380677	135
39275420	29
226085698	9
2543649590	466
49388157	1
3320469291	1
15063486	59
2290000440	20
856736198	680
24486735	1
2433667077	8
2316017272	838
2431285804	1378
480763276	1363
2316236067	1173
6135562	154
2444118214	1803
2578498428	1115
14575708	280
801446214784925696	25
4898091	245
109065990	615
15392486	201
76227785	651
1032929719	6
1089639818	448
16331010	583
23818581	156
3033098871	39
528646037	452
24137386	275
3520911434	3
19329393	168
1190510215	30
147279619	34
163060799	491
580032316	711
162711737	666
288333760	1648
2416946507	1197
2233766268	1256
2833927059	220
2415600568	1292
16073043	26
3220025137	44
2981146703	1
841280461380976640	9
268809577	16
3224527869	1
2810655746	858
2438155476	270
2692734799	932
340153358	3
2411052358	1179
2420312948	1
2259347311	986
2501675968	554
460525251	1305
1390039220	203
2421563171	612
2316511905	1225
2442154222	722
2577954727	1
73887817	92
3318884729	4
403538003	248
64643056	3773
1259314572	26
1259387364	2
156641280	374
16288149	884
20715936	15
425061632	81
2253746724	455
281537076	453
468646961	417
17469289	601
261749735	522
868620983179001728	1
3126534377	4
3271255423	60
2320590097	1787
4508630900	1285
16566808	696
46330725	18
138516405	122
160944297	46
14811839	180
50597428	502
3235189230	2406
2565371899	21
211851247	80
64739098	3
90018855	691
3186462292	121
2279597490	15
256219885	150
86937589	46
2427748753	26
774812520	696
2628892835	1
2455184153	149
374014745	1477
2254096135	1328
387187240	977
25291394	2
142072310	1
1081562149	30
787290153081511808	27
22546022	6
792750759934820352	2
456493247	1564
104775804	376
565451773	1479
2790825277	115
2786524214	89
2441532856	423
2233358346	135
1945905086	432
2208565800	645
2443975725	1301
342875293	2791
1872307176	2
150725695	669
240478776	266
3065976851	13
600581009	14
1937948592	5
466144416	197
23970626	129
710572254191558656	2
2377480808	181
2277545612	1291
2276624017	1230
2417019587	847
2257336208	941
2316301547	504
2429622041	1313
2358932635	2
1578821227	1
17357507	33
823219869684498432	1
2674106707	852
2409557499	1268
2391045519	1478
2558431424	165
1013640973	4
2572767074	3815
41211760	1977
24173261	55
707246777515245568	121
91704353	54
2237307980	1120
1647199298	565
18052474	574
404468324	440
115750378	236
460258316	321
726950269515403264	19
706424410450882560	15
19119809	67
39344374	642
2525394197	450
2520000468	12
19725981	412
313707833	1
2418808274	677
277075275	5
2390136482	2
554468178	1
2788161733	138
37483590	38
28457806	225
291442718	35
16051471	7
39389304	57
286998245	417
14662354	276
37323294	527
2253394196	1251
2396566798	471
2258715372	1170
2188894262	1172
2422323065	515
2405298365	1267
746406424121581440	10
2543208621	11
2215910442	1167
371954958	37
19793211	1
237845487	190
73231838	2672
707066522448105472	1
32283017	28
3089891809	1
281905819	1
1400129383	4
146999764	1
2457304179	19
77321664	21
3298000218	29
4131923895	147
4508335692	1
771556994016694272	1234
2410073765	471
2317067628	1
3056734268	387
3404297363	10
18085871	458
751733391398039552	17
762389795037294720	159
4491572715	175
877699334	125
818910970567344128	666
46213956	529
563018481	193
16503216	213
102089838	1
20545055	33
376388082	44
709443025311830016	4
2275448936	133
1257600356	14
779618853097791360	1192
1092561368	26
584063322	504
231053320	14
545836445	70
